site,scenario,year,proposal_id,proposal_label,intervention,support,measure,metric_column,value,notes,last_updated
city,positive,0,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,0,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,0,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,21598,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:01:24+11:00
city,positive,0,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T20:01:24+11:00
city,positive,0,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,0,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,0,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,24062,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,0,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,0,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,0,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,1080,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:01:24+11:00
city,positive,0,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,15274,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,0,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,26,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,0,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,99,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,0,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,11111,Assumes pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,10,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,241,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,10,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,10321,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,10,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,22301,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:01:24+11:00
city,positive,10,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,23404,Brown roof and living facade roughening counted together.,2026-03-29T20:01:24+11:00
city,positive,10,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,11,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,10,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,1,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,10,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,20133,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,10,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,4,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,10,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,10,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,10,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,1787,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:01:24+11:00
city,positive,10,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,12395,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,10,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,6867,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,10,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,1349,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,10,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,13776,Assumes pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,30,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,475,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,30,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,30474,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,30,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,21418,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:01:24+11:00
city,positive,30,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,70585,Brown roof and living facade roughening counted together.,2026-03-29T20:01:24+11:00
city,positive,30,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,715,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,30,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,6,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,30,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,13534,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,30,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,47,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,30,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,30,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,30,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,9879,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:01:24+11:00
city,positive,30,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,12641,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,30,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,16055,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,30,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,70697,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,30,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,53529,Assumes pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,60,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,819,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,60,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,51061,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,60,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,38716,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:01:24+11:00
city,positive,60,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,144503,Brown roof and living facade roughening counted together.,2026-03-29T20:01:24+11:00
city,positive,60,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,2754,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,60,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,19,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,60,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,8627,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,60,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,104,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,60,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,60,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,60,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,15446,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:01:24+11:00
city,positive,60,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,8584,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,60,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,45677,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,60,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,12454,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,60,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,93270,Assumes pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,90,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,819,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,90,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,50879,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,90,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,38216,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:01:24+11:00
city,positive,90,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,144394,Brown roof and living facade roughening counted together.,2026-03-29T20:01:24+11:00
city,positive,90,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,3010,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,90,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,31,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,90,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,15493,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,90,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,185,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,90,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,90,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,90,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,23213,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:01:24+11:00
city,positive,90,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,15343,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,90,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,39383,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,90,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,4503,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,90,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,163182,Assumes pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,120,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,819,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,120,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,50804,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,120,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,38206,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:01:24+11:00
city,positive,120,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,143825,Brown roof and living facade roughening counted together.,2026-03-29T20:01:24+11:00
city,positive,120,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,3010,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,120,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,31,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,120,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,15499,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,120,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,188,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,120,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,120,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,120,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,20320,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:01:24+11:00
city,positive,120,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,15365,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,120,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,39317,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,120,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,5687,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,120,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,178192,Assumes pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,150,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,819,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,150,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,50529,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,150,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,37870,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:01:24+11:00
city,positive,150,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,141577,Brown roof and living facade roughening counted together.,2026-03-29T20:01:24+11:00
city,positive,150,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,3010,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,150,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,31,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,150,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,15499,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,150,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,188,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,150,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,150,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,150,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,19095,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:01:24+11:00
city,positive,150,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,15377,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,150,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,39376,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,150,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,6576,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,150,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,254308,Assumes pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
city,positive,180,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,819,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,180,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,50498,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:01:24+11:00
city,positive,180,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,38242,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:01:24+11:00
city,positive,180,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,141775,Brown roof and living facade roughening counted together.,2026-03-29T20:01:24+11:00
city,positive,180,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,3010,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,180,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,31,Ageing feature retained in place without collapse zone.,2026-03-29T20:01:24+11:00
city,positive,180,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,15499,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,180,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,188,Ageing feature can senesce and collapse in place.,2026-03-29T20:01:24+11:00
city,positive,180,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,180,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:01:24+11:00
city,positive,180,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,14110,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:01:24+11:00
city,positive,180,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,15370,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,180,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,39415,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:01:24+11:00
city,positive,180,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,6150,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:01:24+11:00
