site,scenario,year,proposal_id,proposal_label,measure,metric_column,value,notes,last_updated
city,positive,0,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,21598,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,positive,0,decay,Decay,decay opportunity voxels,opportunity_voxel_count,24089,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,0,decay,Decay,trees reaching senescence,opportunity_tree_count,0,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,0,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,0,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,0,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,259199,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,positive,0,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,130011,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,positive,10,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,58477,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,positive,10,decay,Decay,decay opportunity voxels,opportunity_voxel_count,25517,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,10,decay,Decay,trees reaching senescence,opportunity_tree_count,5,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,10,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,10,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,10,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,297971,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,positive,10,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,134747,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,positive,30,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,127615,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,positive,30,decay,Decay,decay opportunity voxels,opportunity_voxel_count,32823,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,30,decay,Decay,trees reaching senescence,opportunity_tree_count,53,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,30,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,30,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,30,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,331358,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,positive,30,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,156726,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,positive,60,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,245095,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,positive,60,decay,Decay,decay opportunity voxels,opportunity_voxel_count,46286,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,60,decay,Decay,trees reaching senescence,opportunity_tree_count,144,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,60,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,60,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,60,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,372484,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,positive,60,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,165119,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,positive,90,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,243946,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,positive,90,decay,Decay,decay opportunity voxels,opportunity_voxel_count,55698,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,90,decay,Decay,trees reaching senescence,opportunity_tree_count,253,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,90,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,90,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,90,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,401188,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,positive,90,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,190927,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,positive,120,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,243352,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,positive,120,decay,Decay,decay opportunity voxels,opportunity_voxel_count,55698,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,120,decay,Decay,trees reaching senescence,opportunity_tree_count,256,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,120,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,120,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,120,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,447295,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,positive,120,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,238675,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,positive,150,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,240438,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,positive,150,decay,Decay,decay opportunity voxels,opportunity_voxel_count,55698,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,150,decay,Decay,trees reaching senescence,opportunity_tree_count,256,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,150,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,150,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,150,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,521084,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,positive,150,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,315182,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,positive,180,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,240886,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,positive,180,decay,Decay,decay opportunity voxels,opportunity_voxel_count,55698,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,180,decay,Decay,trees reaching senescence,opportunity_tree_count,256,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,positive,180,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,180,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,positive,180,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,494002,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,positive,180,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,288808,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,trending,0,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,920,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,trending,0,decay,Decay,decay opportunity voxels,opportunity_voxel_count,1191,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,0,decay,Decay,trees reaching senescence,opportunity_tree_count,0,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,0,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,0,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,0,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,244296,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,trending,0,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,123223,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,trending,10,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,1242,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,trending,10,decay,Decay,decay opportunity voxels,opportunity_voxel_count,1680,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,10,decay,Decay,trees reaching senescence,opportunity_tree_count,1,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,10,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,10,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,10,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,244038,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,trending,10,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,122633,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,trending,30,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,1896,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,trending,30,decay,Decay,decay opportunity voxels,opportunity_voxel_count,2323,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,30,decay,Decay,trees reaching senescence,opportunity_tree_count,5,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,30,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,30,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,30,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,226439,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,trending,30,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,102148,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,trending,60,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,5470,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,trending,60,decay,Decay,decay opportunity voxels,opportunity_voxel_count,3227,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,60,decay,Decay,trees reaching senescence,opportunity_tree_count,69,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,60,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,60,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,60,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,210447,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,trending,60,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,79619,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,trending,90,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,10783,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,trending,90,decay,Decay,decay opportunity voxels,opportunity_voxel_count,4363,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,90,decay,Decay,trees reaching senescence,opportunity_tree_count,90,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,90,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,90,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,90,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,259900,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,trending,90,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,117919,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,trending,120,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,14820,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,trending,120,decay,Decay,decay opportunity voxels,opportunity_voxel_count,4916,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,120,decay,Decay,trees reaching senescence,opportunity_tree_count,90,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,120,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,120,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,120,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,333341,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,trending,120,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,195058,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,trending,150,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,21226,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,trending,150,decay,Decay,decay opportunity voxels,opportunity_voxel_count,5353,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,150,decay,Decay,trees reaching senescence,opportunity_tree_count,90,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,150,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,150,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,150,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,357453,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,trending,150,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,214802,All arboreal voxels.,2026-03-29T20:01:24+11:00
city,trending,180,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,27528,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:01:24+11:00
city,trending,180,decay,Decay,decay opportunity voxels,opportunity_voxel_count,5821,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,180,decay,Decay,trees reaching senescence,opportunity_tree_count,90,Number of trees reaching senescence this turn.,2026-03-29T20:01:24+11:00
city,trending,180,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,180,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:01:24+11:00
city,trending,180,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,361098,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:01:24+11:00
city,trending,180,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,214745,All arboreal voxels.,2026-03-29T20:01:24+11:00
