site,persona,capability,label,old_summary,old_ratio,old_left_pct,old_right_pct,new_summary,new_ratio,new_positive_pct,new_trending_pct,new_positive_value,new_trending_value,new_baseline_value,old_direction_sign,new_direction_sign,same_direction,ratio_change_factor
Parade,Bird,Acquire Resources,Peeling bark volume,3.28x peeling bark volume (65.2% vs 19.9%),3.28,65.2,19.9,5.88x peeling bark volume (46.4% vs 7.9%),5.88,46.4,7.9,38223,6497,82373,1,1,yes,1.793651
Parade,Bird,Communicate,Perchable canopy volume,1.48x perchable canopy volume (61.0% vs 41.1%),1.48,61.0,41.1,1.39x perchable canopy volume (27.2% vs 19.6%),1.39,27.2,19.6,182186,131058,669924,1,1,yes,0.939268
Parade,Bird,Reproduce,Hollow count,11.27x hollow count (92.5% vs 8.2%),11.27,92.5,8.2,104.44x hollow count (52.5% vs 0.5%),104.44,52.5,0.5,940,9,1790,1,1,yes,9.267475
Parade,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,8.06x combined ground-cover/dead branch/epiphyte indicators (72.9% vs 9.0%),8.06,72.9,9.0,18.81x combined ground-cover/dead branch/epiphyte indicators (54.9% vs 2.9%),18.81,54.9,2.9,218132,11595,397201,1,1,yes,2.334068
Parade,Lizard,Communicate,Non-paved surface area,1.59x non-paved surface area (81.7% vs 51.4%),1.59,81.7,51.4,1.43x non-paved surface area (73.6% vs 51.4%),1.43,73.6,51.4,119318,83259,162071,1,1,yes,0.901317
Parade,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,439.14x combined nurse-log/fallen-tree indicators (27.5% vs 0.1%),439.14,27.5,0.1,∞x combined nurse-log/fallen-tree indicators (15.1% vs 0.0%),inf,15.1,0.0,23798,0,157794,1,1,yes,inf
Parade,Tree,Acquire Resources,Senescent biovolume,555.00x senescent biovolume (55.5% vs 0.1%),555.00,55.5,0.1,∞x senescent biovolume (94.9% vs 0.0%),inf,94.9,0.0,102757,0,108313,1,1,yes,inf
Parade,Tree,Communicate,Soil near canopy features,1.83x soil near canopy features (81.3% vs 44.4%),1.83,81.3,44.4,1.67x soil near canopy features (73.5% vs 43.9%),1.67,73.5,43.9,119112,71209,162071,1,1,yes,0.914049
Parade,Tree,Reproduce,Grassland-for-recruitment indicator,710.56x grassland-for-recruitment indicator (59.6% vs 0.1%),710.56,59.6,0.1,2204.86x grassland-for-recruitment indicator (50.3% vs 0.0%),2204.86,50.3,0.0,81580,37,162071,1,1,yes,3.102996
Street,Bird,Acquire Resources,Peeling bark volume,5.22x peeling bark volume (33.9% vs 6.5%),5.22,33.9,6.5,11.78x peeling bark volume (34.8% vs 3.0%),11.78,34.8,3.0,28576,2426,82214,1,1,yes,2.256525
Street,Bird,Communicate,Perchable canopy volume,2.39x perchable canopy volume (37.9% vs 15.8%),2.39,37.9,15.8,3.33x perchable canopy volume (35.9% vs 10.8%),3.33,35.9,10.8,243285,73118,678571,1,1,yes,1.392173
Street,Bird,Reproduce,Hollow count,5.84x hollow count (43.1% vs 7.4%),5.84,43.1,7.4,12.20x hollow count (45.0% vs 3.7%),12.20,45.0,3.7,805,66,1790,1,1,yes,2.088522
Street,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,14.28x combined ground-cover/dead branch/epiphyte indicators (88.2% vs 6.2%),14.28,88.2,6.2,21.04x combined ground-cover/dead branch/epiphyte indicators (86.7% vs 4.1%),21.04,86.7,4.1,349717,16619,403328,1,1,yes,1.473614
Street,Lizard,Communicate,Non-paved surface area,3.64x non-paved surface area (153.0% vs 42.1%),3.64,153.0,42.1,3.60x non-paved surface area (150.5% vs 41.8%),3.60,150.5,41.8,253733,70411,168550,1,1,yes,0.990000
Street,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,15.00x combined nurse-log/fallen-tree indicators (11.4% vs 0.8%),15.00,11.4,0.8,17.39x combined nurse-log/fallen-tree indicators (8.3% vs 0.5%),17.39,8.3,0.5,12974,746,156818,1,1,yes,1.159428
Street,Tree,Acquire Resources,Senescent biovolume,5.63x senescent biovolume (12.5% vs 2.2%),5.63,12.5,2.2,∞x senescent biovolume (26.5% vs 0.0%),inf,26.5,0.0,27884,0,105089,1,1,yes,inf
Street,Tree,Communicate,Soil near canopy features,3.61x soil near canopy features (62.5% vs 17.3%),3.61,62.5,17.3,3.68x soil near canopy features (60.2% vs 16.3%),3.68,60.2,16.3,101443,27537,168550,1,1,yes,1.020465
Street,Tree,Reproduce,Grassland-for-recruitment indicator,12.60x grassland-for-recruitment indicator (44.0% vs 3.5%),12.60,44.0,3.5,12.50x grassland-for-recruitment indicator (41.6% vs 3.3%),12.50,41.6,3.3,70127,5610,168550,1,1,yes,0.992092
City,Bird,Acquire Resources,Peeling bark volume,2.11x peeling bark volume (34.5% vs 16.4%),2.11,34.5,16.4,8.79x peeling bark volume (23.2% vs 2.6%),8.79,23.2,2.6,19084,2172,82345,1,1,yes,4.164157
City,Bird,Communicate,Perchable canopy volume,1.47x perchable canopy volume (38.7% vs 26.3%),1.47,38.7,26.3,3.81x perchable canopy volume (22.2% vs 5.8%),3.81,22.2,5.8,150662,39574,678785,1,1,yes,2.589861
City,Bird,Reproduce,Hollow count,2.71x hollow count (54.5% vs 20.1%),2.71,54.5,20.1,10.41x hollow count (29.7% vs 2.8%),10.41,29.7,2.8,531,51,1790,1,1,yes,3.841980
City,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,4.95x combined ground-cover/dead branch/epiphyte indicators (97.9% vs 19.8%),4.95,97.9,19.8,8.27x combined ground-cover/dead branch/epiphyte indicators (86.3% vs 10.4%),8.27,86.3,10.4,352801,42638,408781,1,1,yes,1.671582
City,Lizard,Communicate,Non-paved surface area,6.72x non-paved surface area (165.0% vs 24.5%),6.72,165.0,24.5,6.87x non-paved surface area (159.5% vs 23.2%),6.87,159.5,23.2,275690,40132,172863,1,1,yes,1.022259
City,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,5.01x combined nurse-log/fallen-tree indicators (27.2% vs 5.4%),5.01,27.2,5.4,5.37x combined nurse-log/fallen-tree indicators (19.3% vs 3.6%),5.37,19.3,3.6,30608,5705,158186,1,1,yes,1.070882
City,Tree,Acquire Resources,Senescent biovolume,2.89x senescent biovolume (21.9% vs 7.6%),2.89,21.9,7.6,57.73x senescent biovolume (25.7% vs 0.4%),57.73,25.7,0.4,27365,474,106414,1,1,yes,19.976494
City,Tree,Communicate,Soil near canopy features,4.10x soil near canopy features (45.1% vs 11.0%),4.10,45.1,11.0,4.08x soil near canopy features (39.8% vs 9.8%),4.08,39.8,9.8,68841,16866,172863,1,1,yes,0.995523
City,Tree,Reproduce,Grassland-for-recruitment indicator,6.43x grassland-for-recruitment indicator (51.7% vs 8.0%),6.43,51.7,8.0,7.10x grassland-for-recruitment indicator (46.0% vs 6.5%),7.10,46.0,6.5,79484,11197,172863,1,1,yes,1.103995
